fromId,truthCount,totalCount,percent
75,2,11,0.18181818181818182
267,0,7,0.0
60365,0,30,0.0
60207,2,10,0.2
15,0,11,0.0
47,0,26,0.0
85,0,26,0.0
87,0,2,0.0
57,0,54,0.0
60474,3,11,0.2727272727272727
60218,1,24,0.041666666666666664
31,1,29,0.034482758620689655
5,1,1,1.0
31,0,1,0.0
2259,1,24,0.041666666666666664
60232,0,5,0.0
60328,2,33,0.06060606060606061
60474,1,12,0.08333333333333333
604,1,5,0.2
5,0,1,0.0
138,1,1,1.0
60218,0,1,0.0
10,1,3,0.3333333333333333
44,0,3,0.0
60450,1,6,0.16666666666666666
260,1,12,0.08333333333333333
196,2,35,0.05714285714285714
5,0,42,0.0
69,0,32,0.0
197,0,6,0.0
61320,2,37,0.05405405405405406
60521,0,3,0.0
362,0,15,0.0
138,0,3,0.0
60207,4,97,0.041237113402061855
274,0,32,0.0
85,2,65,0.03076923076923077
60981,1,66,0.015151515151515152
149,4,47,0.0851063829787234
60536,0,2,0.0
57,0,2,0.0
123,5,48,0.10416666666666667
94,2,87,0.022988505747126436
60479,0,11,0.0
193,1,29,0.034482758620689655
196,2,16,0.125
41,1,1,1.0
60218,0,1,0.0
156,1,2,0.5
189,0,24,0.0
31,0,10,0.0
37,2,14,0.14285714285714285
5,0,19,0.0
230,0,1,0.0
60264,0,38,0.0
41,2,32,0.0625
138,3,19,0.15789473684210525
10,0,13,0.0
75,2,20,0.1
60207,1,19,0.05263157894736842
47,0,11,0.0
51,1,19,0.05263157894736842
85,2,16,0.125
87,1,1,1.0
215,0,1,0.0
57,0,10,0.0
60474,1,19,0.05263157894736842
60218,1,19,0.05263157894736842
189,0,6,0.0
31,3,19,0.15789473684210525
97,0,13,0.0
60264,0,13,0.0
8,0,13,0.0
57,0,13,0.0
189,0,13,0.0
47,0,13,0.0
230,1,6,0.16666666666666666
189,0,4,0.0
47,0,6,0.0
41,1,3,0.3333333333333333
60218,0,15,0.0
60378,0,16,0.0
156,0,9,0.0
60423,0,11,0.0
60328,0,11,0.0
8,0,15,0.0
266,0,12,0.0
300,0,18,0.0
60447,0,25,0.0
97,1,26,0.038461538461538464
196,0,7,0.0
5,0,15,0.0
197,0,1,0.0
60328,1,22,0.045454545454545456
25,1,7,0.14285714285714285
44,1,7,0.14285714285714285
156,1,26,0.038461538461538464
31,4,15,0.26666666666666666
60591,1,16,0.0625
287,1,8,0.125
60435,3,6,0.5
51,1,8,0.125
213,0,1,0.0
37,3,15,0.2
60423,3,3,1.0
87,2,10,0.2
60328,3,4,0.75
60232,1,12,0.08333333333333333
57,0,18,0.0
75,3,15,0.2
60207,3,13,0.23076923076923078
5,0,6,0.0
149,2,8,0.25
31,1,1,1.0
64,1,11,0.09090909090909091
288,0,1,0.0
25,0,1,0.0
61151,1,1,1.0
60512,1,5,0.2
946,0,6,0.0
5,0,6,0.0
138,1,1,1.0
60444,0,1,0.0
60367,0,5,0.0
31,0,2,0.0
61344,0,4,0.0
290,0,12,0.0
5,0,7,0.0
274,0,3,0.0
871,0,5,0.0
85,0,1,0.0
5,0,5,0.0
85,0,3,0.0
5,0,3,0.0
60207,1,2,0.5
31,1,1,1.0
51,0,2,0.0
5,0,6,0.0
296,0,2,0.0
205,0,2,0.0
145,1,1,1.0
2182,1,11,0.09090909090909091
60328,1,3,0.3333333333333333
287,2,9,0.2222222222222222
5,0,1,0.0
60474,2,12,0.16666666666666666
31,1,1,1.0
287,1,11,0.09090909090909091
25,1,7,0.14285714285714285
44,0,76,0.0
621,1,71,0.014084507042253521
47,0,5,0.0
267,0,12,0.0
60577,0,19,0.0
196,1,96,0.010416666666666666
25,1,19,0.05263157894736842
44,1,19,0.05263157894736842
1,0,13,0.0
62277,0,22,0.0
61094,2,18,0.1111111111111111
10,2,10,0.2
60207,4,22,0.18181818181818182
111,0,2,0.0
15,0,4,0.0
85,2,9,0.2222222222222222
25,0,27,0.0
60378,1,22,0.045454545454545456
60218,3,28,0.10714285714285714
189,0,20,0.0
94,3,22,0.13636363636363635
1182,0,16,0.0
287,1,11,0.09090909090909091
405,0,3,0.0
5,2,9,0.2222222222222222
10,0,2,0.0
