Unnamed: 0,fromLibrary,toLibrary,fromGroupArtifact,toGroupArtifact,inDepSeq,dataConfirmed
2593,mockobjects,jmock,mockobjects:mockobjects-core,jmock:jmock,4,True
2594,mockobjects,powermock,mockobjects:mockobjects-core,org.powermock:powermock-core,0,False
2595,mockobjects,powermock,mockobjects:mockobjects,org.powermock:powermock-api-mockito,0,False
2596,mockobjects,easymock,mockobjects:mockobjects-core,easymock:easymock,2,False
2597,mockobjects,mockito,mockobjects:mockobjects-core,org.mockito:mockito-all,16,True
2598,mockobjects,powermock,mockobjects:mockobjects-core,org.powermock:powermock-module-junit4,0,False
2599,mockobjects,mockito,mockobjects:mockobjects-core,org.mockito:mockito-core,0,False
2600,mockobjects,hamcrest,mockobjects:mockobjects,org.hamcrest:hamcrest,0,False
2601,mockobjects,hamcrest,mockobjects:mockobjects-core,org.hamcrest:hamcrest-all,0,False
2602,mockobjects,jmockit,mockobjects:mockobjects,com.googlecode.jmockit:jmockit,0,False
2603,mockobjects,jmockit,mockobjects:mockobjects-core,com.googlecode.jmockit:jmockit,0,False
2604,mockobjects,fest,mockobjects:mockobjects-core,org.easytesting:fest-assert,0,False
2605,mockobjects,fest,mockobjects:mockobjects-core,org.easytesting:fest-assert-core,0,False
2606,mockobjects,powermock,mockobjects:mockobjects-core,org.powermock:powermock-api-mockito,0,False
2607,mockobjects,hamcrest,mockobjects:mockobjects,org.hamcrest:hamcrest-all,0,False
2608,mockobjects,hamcrest,mockobjects:mockobjects-core,org.hamcrest:hamcrest-core,0,False
