fromId,toId,fromGroupArtifact,toGroupArtifact,isCorrect,confidence,ruleFreq,relativeRuleFreq,concurrence,concurrenceAdjustment,commitDistance,apiSupport
11601,48,org.apache.derby:derbyclient,com.h2database:h2,true,0.17045138205441096,8,1.0,35,0.22857142857142856,0.6784330011074197,0.6
12168,5474,org.apache.hbase:hbase,org.apache.hadoop:hadoop-client,false,0.046858398729850155,9,0.5294117647058824,43,0.20930232558139536,0.4997647281328496,0.6
12168,171,org.apache.hbase:hbase,log4j:log4j,false,0.03608978288021718,8,0.47058823529411764,113,0.07079646017699115,0.61000150060024,0.6
12168,10615,org.apache.hbase:hbase,org.apache.hadoop:hadoop-core,false,0.030225958995698837,8,0.47058823529411764,195,0.041025641025641026,0.5954333709768492,0.8
12168,4,org.apache.hbase:hbase,org.slf4j:slf4j-log4j12,false,0.01744234127936383,8,0.47058823529411764,59,0.13559322033898305,0.3604828024052948,0.6
12168,12,org.apache.hbase:hbase,org.slf4j:slf4j-api,false,0.008763029723637267,8,0.47058823529411764,77,0.1038961038961039,0.2730982904518856,0.6
86,533,org.apache.httpcomponents:httpclient,org.codehaus.jackson:jackson-mapper-asl,false,0.06737923214723834,30,1.0,606,0.04950495049504951,0.6252634729105319,0.6
86,970,org.apache.httpcomponents:httpclient,org.codehaus.jackson:jackson-core-asl,false,0.06157394171309637,19,0.6333333333333333,332,0.0572289156626506,0.7243369050155755,0.6
86,154,org.apache.httpcomponents:httpclient,commons-codec:commons-codec,false,0.054287631180720226,28,0.9333333333333333,618,0.045307443365695796,0.5939526932093377,0.6
86,288,org.apache.httpcomponents:httpclient,org.apache.commons:commons-lang3,false,0.04378879008143503,23,0.7666666666666667,479,0.04801670146137787,0.5800858726506453,0.6
86,26,org.apache.httpcomponents:httpclient,com.fasterxml.jackson.core:jackson-databind,false,0.04000166896719244,20,0.6666666666666666,306,0.06535947712418301,0.5504523503062403,0.6
86,11,org.apache.httpcomponents:httpclient,org.mockito:mockito-core,false,0.0397837086831606,17,0.5666666666666667,280,0.060714285714285714,0.6064964520407892,0.6
86,30,org.apache.httpcomponents:httpclient,com.google.code.gson:gson,false,0.036164227857405994,19,0.6333333333333333,509,0.03732809430255403,0.6176986584107326,0.6
86,674,org.apache.httpcomponents:httpclient,commons-httpclient:commons-httpclient,true,0.03490585354950728,15,0.5,385,0.03896103896103896,0.6757229726794944,0.6
86,9,org.apache.httpcomponents:httpclient,com.google.guava:guava,false,0.029627786131232795,20,0.6666666666666666,574,0.03484320557491289,0.5544059615678176,0.6
86,953,org.apache.httpcomponents:httpclient,commons-lang:commons-lang,false,0.029332694506472055,22,0.7333333333333333,706,0.031161473087818695,0.5408576277879873,0.6
86,403,org.apache.httpcomponents:httpclient,commons-io:commons-io,false,0.02776599568740629,26,0.8666666666666667,916,0.028384279475982533,0.4954767704108178,0.6
86,3539,org.apache.httpcomponents:httpclient,com.googlecode.json-simple:json-simple,false,0.027684569418637475,11,0.36666666666666664,158,0.06962025316455696,0.6078010685607956,0.6
86,10,org.apache.httpcomponents:httpclient,junit:junit,false,0.027152301436377722,29,0.9666666666666667,2254,0.012866015971606033,0.5654134268743372,0.6
86,171,org.apache.httpcomponents:httpclient,log4j:log4j,false,0.025220370876279315,27,0.9,1136,0.023767605633802816,0.48441804081454043,0.6
86,47,org.apache.httpcomponents:httpclient,org.testng:testng,false,0.02452078942720137,10,0.3333333333333333,204,0.049019607843137254,0.6549340659340659,0.6
86,76,org.apache.httpcomponents:httpclient,joda-time:joda-time,false,0.024191271041039044,15,0.5,399,0.03759398496240601,0.5675798097083907,0.6
86,2486,org.apache.httpcomponents:httpclient,javax.servlet:servlet-api,false,0.024115889988837326,23,0.7666666666666667,901,0.025527192008879023,0.504150012761562,0.6
86,69,org.apache.httpcomponents:httpclient,org.json:json,false,0.022469031187048297,16,0.5333333333333333,336,0.047619047619047616,0.49924051283837234,0.6
86,67,org.apache.httpcomponents:httpclient,org.jsoup:jsoup,false,0.02064668385442952,9,0.3,214,0.04205607476635514,0.658217659533449,0.6
86,82,org.apache.httpcomponents:httpclient,org.seleniumhq.selenium:selenium-java,true,0.019706574144833306,10,0.3333333333333333,126,0.07936507936507936,0.5205003392130257,0.6
86,4,org.apache.httpcomponents:httpclient,org.slf4j:slf4j-log4j12,false,0.018154242716665017,25,0.8333333333333334,754,0.033156498673740056,0.39300648207323,0.6
86,932,org.apache.httpcomponents:httpclient,javax.servlet:javax.servlet-api,false,0.017778825587795297,11,0.36666666666666664,233,0.04721030042918455,0.5367459990989403,0.6
86,33,org.apache.httpcomponents:httpclient,ch.qos.logback:logback-classic,false,0.01722739575501263,12,0.4,337,0.03560830860534125,0.542817912763565,0.6
86,6026,org.apache.httpcomponents:httpclient,com.sun.jersey:jersey-client,false,0.0171605367177418,8,0.26666666666666666,145,0.05517241379310345,0.5947202940737424,0.6
86,12,org.apache.httpcomponents:httpclient,org.slf4j:slf4j-api,false,0.016846502861838496,28,0.9333333333333333,971,0.028836251287332648,0.37043667619985365,0.6
86,6,org.apache.httpcomponents:httpclient,org.springframework:spring-web,false,0.0158492481488385,13,0.43333333333333335,551,0.023593466424682397,0.5544438018122227,0.6
86,2277,org.apache.httpcomponents:httpclient,javax.inject:javax.inject,false,0.014869600270457497,9,0.3,222,0.04054054054054054,0.5637399637399637,0.6
86,51,org.apache.httpcomponents:httpclient,com.fasterxml.jackson.core:jackson-core,false,0.014290091695250405,11,0.36666666666666664,206,0.05339805825242718,0.46661920966733794,0.6
86,21,org.apache.httpcomponents:httpclient,org.mockito:mockito-all,false,0.013443508669351106,12,0.4,478,0.02510460251046025,0.5232993197278911,0.6
86,377,org.apache.httpcomponents:httpclient,commons-fileupload:commons-fileupload,false,0.013131488362236925,11,0.36666666666666664,302,0.03642384105960265,0.4921947910351122,0.6
86,5892,org.apache.httpcomponents:httpclient,org.apache.commons:commons-io,false,0.012727244100130519,9,0.3,186,0.04838709677419355,0.4989836960425196,0.6
86,921,org.apache.httpcomponents:httpclient,commons-logging:commons-logging,false,0.012620180052809333,12,0.4,548,0.021897810218978103,0.5246441025426533,0.6
86,79,org.apache.httpcomponents:httpclient,org.slf4j:jul-to-slf4j,false,0.01169640930772313,8,0.26666666666666666,74,0.10810810810810811,0.41499181712596345,0.6
86,71,org.apache.httpcomponents:httpclient,org.powermock:powermock-module-junit4,false,0.01154954768719906,8,0.26666666666666666,108,0.07407407407407407,0.4532561980591872,0.6
86,1026,org.apache.httpcomponents:httpclient,commons-cli:commons-cli,false,0.01079430987317795,8,0.26666666666666666,175,0.045714285714285714,0.49438157563157564,0.6
86,70,org.apache.httpcomponents:httpclient,mysql:mysql-connector-java,false,0.010590517925558715,15,0.5,528,0.028409090909090908,0.4027832955247143,0.6
86,22,org.apache.httpcomponents:httpclient,org.springframework:spring-webmvc,false,0.009991373810614938,9,0.3,612,0.014705882352941176,0.5954446425034661,0.6
86,1224,org.apache.httpcomponents:httpclient,javax.xml.bind:jaxb-api,false,0.0095976519781007,9,0.3,123,0.07317073170731707,0.3907506503158677,0.6
86,39977,org.apache.httpcomponents:httpclient,xml-apis:xml-apis,false,0.009546598706936279,9,0.3,109,0.08256880733944955,0.3781132451800848,0.6
86,45560,org.apache.httpcomponents:httpclient,commons-configuration:commons-configuration,false,0.009386688333203172,8,0.26666666666666666,124,0.06451612903225806,0.4229771872863978,0.6
