fromLibrary,toLibrary,score,fromGroupArtifacts,toGroupArtifacts
dom4j,jdom,3,org.dom4j:dom4j;dom4j:dom4j,org.dom4j:dom4j;jdom:jdom;org.jdom:jdom2;dom4j:dom4j;org.jdom:jdom
dom4j,xpp3,1,org.dom4j:dom4j;dom4j:dom4j,org.dom4j:dom4j;xpp3:xpp3;dom4j:dom4j;org.ogce:xpp3
dom4j,xml-writer,1,org.dom4j:dom4j;dom4j:dom4j,org.dom4j:dom4j;com.megginson.sax:xml-writer;dom4j:dom4j
dom4j,xerces,1,org.dom4j:dom4j;dom4j:dom4j,org.dom4j:dom4j;xerces:xercesImpl;dom4j:dom4j;xerces:xerces
dom4j,jaxen,1,org.dom4j:dom4j;dom4j:dom4j,org.dom4j:dom4j;jaxen:jaxen;dom4j:dom4j
dumbster,subethasmtp,2,dumbster:dumbster,com.bitmechanic:dumbster;de.softwareforge:dumbster;dumbster:dumbster;org.subethamail:subethasmtp
easymock,mockito,23,org.easymock:easymock;easymock:easymock,org.easymock:easymock;easymock:easymock;org.mockito:mockito-core;org.mockito:mockito-all
easymock,hamcrest,7,org.easymock:easymock;easymock:easymock,org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:java-hamcrest;org.easymock:easymock;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest;easymock:easymock
easymock,fest,3,org.easymock:easymock;easymock:easymock,org.easytesting:fest-assert-core;org.easymock:easymock;easymock:easymock;org.easytesting:fest-assert
easymock,powermock,2,org.easymock:easymock;easymock:easymock,org.powermock:powermock;org.powermock:powermock-api-mockito;org.powermock:powermock-core;org.powermock:powermock-module-junit4;org.powermock:powermock-api;org.easymock:easymock;easymock:easymock
easymock,jmock,1,org.easymock:easymock;easymock:easymock,org.jmock:jmock;jmock:jmock;org.easymock:easymock;org.jmock:jmock-junit4;easymock:easymock
eclipselink,hibernate,1,org.eclipse.persistence:eclipselink,com.liferay:org.hibernate.core;org.hibernate:hibernate-entitymanager;org.eclipse.persistence:eclipselink;hibernate:hibernate;org.hibernate:hibernate;org.hibernate.javax.persistence:hibernate-jpa-2.1-api;org.atteo.moonshine:hibernate;org.hibernate:hibernate-core
fastjson,gson,2,com.alibaba:fastjson,com.alibaba:fastjson;com.google.code.gson:gson
fastutil,guava,2,fastutil:fastutil;it.unimi.dsi:fastutil,fastutil:fastutil;it.unimi.dsi:fastutil;com.google.guava:guava
fastutil,trove4j,1,fastutil:fastutil;it.unimi.dsi:fastutil,fastutil:fastutil;it.unimi.dsi:fastutil;net.sf.trove4j:trove4j
fastutil,colt,1,fastutil:fastutil;it.unimi.dsi:fastutil,fastutil:fastutil;colt:colt;it.unimi.dsi:fastutil
fest,mockito,3,org.easytesting:fest-assert,org.easytesting:fest-assert-core;org.easytesting:fest-assert;org.mockito:mockito-core;org.mockito:mockito-all
fest,hamcrest,2,org.easytesting:fest-assert,org.easytesting:fest-assert-core;org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:java-hamcrest;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest;org.easytesting:fest-assert
flexjson,json-lib,1,net.sf.flexjson:flexjson,com.hynnet:json-lib;net.sf.flexjson:flexjson;org.kohsuke.stapler:json-lib;net.sf.json-lib:json-lib
flexjson,jackson,1,net.sf.flexjson:flexjson,net.sf.flexjson:flexjson;org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core
freemarker,stringtemplate,1,freemarker:freemarker;org.freemarker:freemarker,org.antlr:stringtemplate;antlr:stringtemplate;freemarker:freemarker;org.freemarker:freemarker;com.netflix.Nicobar:nicobar-manager
groovy,spring,3,,
groovy,guice,3,groovy:groovy-all;org.codehaus.groovy:groovy;groovy:groovy,com.google.inject:guice;groovy:groovy-all;org.codehaus.groovy:groovy;org.sonatype.sisu:sisu-guice;groovy:groovy;org.codehaus.groovy:groovy-all
gson,jackson,22,com.google.code.gson:gson,org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.google.code.gson:gson;com.fasterxml.jackson.core:jackson-core
gson,org.json,6,com.google.code.gson:gson,org.json:json;com.google.code.gson:gson
gson,flexjson,3,com.google.code.gson:gson,net.sf.flexjson:flexjson;com.google.code.gson:gson
gson,json-simple,2,com.google.code.gson:gson,com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple;com.google.code.gson:gson
gson,fastjson,2,com.google.code.gson:gson,com.alibaba:fastjson;com.google.code.gson:gson
gson,xstream,1,com.google.code.gson:gson,xstream:xstream;com.thoughtworks.xstream:xstream;org.hudsonci.tools:xstream;com.google.code.gson:gson;io.github.benas:xstream;org.sonatype.nexus.xstream:xstream
guava,commons-lang,18,com.google.guava:guava,org.apache.commons:commons-lang3;com.google.guava:guava;commons-lang:commons-lang
guava,joda-time,8,com.google.guava:guava,joda-time:joda-time;com.google.guava:guava
guava,commons-collections,5,com.google.guava:guava,org.apache.commons:commons-collections4;com.google.guava:guava;commons-collections:commons-collections
guava,lambdaj,2,com.google.guava:guava,com.googlecode.lambdaj:lambdaj;com.google.guava:guava
guava,high-scale-lib,1,com.google.guava:guava,com.boundary:high-scale-lib;com.google.guava:guava
guava,fastutil,1,com.google.guava:guava,fastutil:fastutil;it.unimi.dsi:fastutil;com.google.guava:guava
guava,collections-generic,1,com.google.guava:guava,net.sourceforge.collections:collections-generic;com.google.guava:guava
