fromLibrary,toLibrary,score,fromGroupArtifacts,toGroupArtifacts
velocity,stringtemplate,1,org.apache.velocity:velocity;velocity:velocity,org.antlr:stringtemplate;antlr:stringtemplate;org.apache.velocity:velocity;velocity:velocity
velocity,mvel2,1,org.apache.velocity:velocity;velocity:velocity,org.mvel:mvel2;org.apache.velocity:velocity;velocity:velocity;org.mule.mvel:mule-mvel2
wstx-asl,xpp3,1,org.codehaus.woodstox:wstx-asl;woodstox:wstx-asl,xpp3:xpp3;org.codehaus.woodstox:wstx-asl;woodstox:wstx-asl;org.ogce:xpp3
wstx-asl,stax2-api,1,org.codehaus.woodstox:wstx-asl;woodstox:wstx-asl,org.codehaus.woodstox:wstx-asl;woodstox:wstx-asl;org.codehaus.woodstox:stax2-api
wstx-asl,kxml2,1,org.codehaus.woodstox:wstx-asl;woodstox:wstx-asl,kxml2:kxml2;org.codehaus.woodstox:wstx-asl;woodstox:wstx-asl;net.sf.kxml:kxml2
xalan,xmlParserAPIs,4,xalan:xalan,xerces:xmlParserAPIs;xalan:xalan;xml-apis:xmlParserAPIs
xalan,xerces,1,xalan:xalan,xalan:xalan;xerces:xercesImpl;xerces:xerces
xalan,dom4j,1,xalan:xalan,org.dom4j:dom4j;xalan:xalan;dom4j:dom4j
xerces,xpp3,2,xerces:xercesImpl;xerces:xerces,xerces:xercesImpl;xpp3:xpp3;xerces:xerces;org.ogce:xpp3
xerces,xom,1,xerces:xercesImpl;xerces:xerces,xom:xom;xerces:xercesImpl;xerces:xerces
xerces,saxon,1,xerces:xercesImpl;xerces:xerces,saxon:saxon;net.sourceforge.saxon:saxon;xerces:xercesImpl;net.sf.saxon:saxon;xerces:xerces
xerces,kxml2,1,xerces:xercesImpl;xerces:xerces,kxml2:kxml2;xerces:xercesImpl;xerces:xerces;net.sf.kxml:kxml2
xerces,dom4j,1,xerces:xercesImpl;xerces:xerces,org.dom4j:dom4j;xerces:xercesImpl;xerces:xerces;dom4j:dom4j
xmlParserAPIs,xpp3,14,xerces:xmlParserAPIs;xml-apis:xmlParserAPIs,xerces:xmlParserAPIs;xpp3:xpp3;org.ogce:xpp3;xml-apis:xmlParserAPIs
xmlParserAPIs,jdom,8,xerces:xmlParserAPIs;xml-apis:xmlParserAPIs,jdom:jdom;xerces:xmlParserAPIs;org.jdom:jdom2;xml-apis:xmlParserAPIs;org.jdom:jdom
xmlParserAPIs,xom,2,xerces:xmlParserAPIs;xml-apis:xmlParserAPIs,xom:xom;xerces:xmlParserAPIs;xml-apis:xmlParserAPIs
xmlParserAPIs,xalan,2,xerces:xmlParserAPIs;xml-apis:xmlParserAPIs,xerces:xmlParserAPIs;xalan:xalan;xml-apis:xmlParserAPIs
xmlParserAPIs,wstx-asl,2,xerces:xmlParserAPIs;xml-apis:xmlParserAPIs,xerces:xmlParserAPIs;org.codehaus.woodstox:wstx-asl;woodstox:wstx-asl;xml-apis:xmlParserAPIs
xmlParserAPIs,simple-xml,2,xerces:xmlParserAPIs;xml-apis:xmlParserAPIs,xerces:xmlParserAPIs;org.simpleframework:simple-xml;xml-apis:xmlParserAPIs
xmlParserAPIs,stax2-api,1,xerces:xmlParserAPIs;xml-apis:xmlParserAPIs,xerces:xmlParserAPIs;xml-apis:xmlParserAPIs;org.codehaus.woodstox:stax2-api
xmlParserAPIs,dom4j,1,xerces:xmlParserAPIs;xml-apis:xmlParserAPIs,org.dom4j:dom4j;xerces:xmlParserAPIs;dom4j:dom4j;xml-apis:xmlParserAPIs
xom,xmlParserAPIs,2,xom:xom,xom:xom;xerces:xmlParserAPIs;xml-apis:xmlParserAPIs
xpp3,xmlParserAPIs,4,xpp3:xpp3;org.ogce:xpp3,xerces:xmlParserAPIs;xpp3:xpp3;org.ogce:xpp3;xml-apis:xmlParserAPIs
xpp3,simple-xml,1,xpp3:xpp3;org.ogce:xpp3,xpp3:xpp3;org.simpleframework:simple-xml;org.ogce:xpp3
xstream,jackson,5,xstream:xstream;com.thoughtworks.xstream:xstream,xstream:xstream;com.thoughtworks.xstream:xstream;org.hudsonci.tools:xstream;org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core;io.github.benas:xstream;org.sonatype.nexus.xstream:xstream
xstream,gson,2,xstream:xstream;com.thoughtworks.xstream:xstream,xstream:xstream;com.thoughtworks.xstream:xstream;org.hudsonci.tools:xstream;com.google.code.gson:gson;io.github.benas:xstream;org.sonatype.nexus.xstream:xstream
xstream,org.json,1,xstream:xstream;com.thoughtworks.xstream:xstream,xstream:xstream;com.thoughtworks.xstream:xstream;org.hudsonci.tools:xstream;org.json:json;io.github.benas:xstream;org.sonatype.nexus.xstream:xstream
xstream,jettison,1,xstream:xstream;com.thoughtworks.xstream:xstream,xstream:xstream;org.codehaus.jettison:jettison;com.thoughtworks.xstream:xstream;org.hudsonci.tools:xstream;io.github.benas:xstream;org.sonatype.nexus.xstream:xstream
xstream,flexjson,1,xstream:xstream;com.thoughtworks.xstream:xstream,xstream:xstream;com.thoughtworks.xstream:xstream;org.hudsonci.tools:xstream;net.sf.flexjson:flexjson;io.github.benas:xstream;org.sonatype.nexus.xstream:xstream
